Item Code,Location,Delivery date,Qty to receive
23807,Bhiwandi,31-05-2024,96
25700,Bhiwandi,31-05-2024,240
25707,Bhiwandi,31-05-2024,240
26130,Bhiwandi,31-05-2024,48
27600,Bhiwandi,31-05-2024,48
27691,Bhiwandi,31-05-2024,120
27750,Bhiwandi,31-05-2024,520
27800,Bhiwandi,31-05-2024,336
27807,Bhiwandi,31-05-2024,260
27830,Bhiwandi,31-05-2024,192
27970,Bhiwandi,31-05-2024,144
27980,Bhiwandi,31-05-2024,468
29560,Bhiwandi,31-05-2024,240
27710,Bhiwandi,31-05-2024,144
27837,Bhiwandi,31-05-2024,300
